O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
1,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,125001,1451,126452,56.94,Gummidipoondi,1,1-1,Thiruvallur,General,1,M
2,DILLIY K.M,Desiya Murpokku Dravida Kazhagam,2553,23,2576,1.16,Gummidipoondi,1,1-2,Thiruvallur,General,4,M
3,NAGARAJ S,Bahujan Samaj Party,1031,7,1038,0.47,Gummidipoondi,1,1-3,Thiruvallur,General,6,M
4,USHA,Naam Tamilar Katchi,11643,58,11701,5.27,Gummidipoondi,1,1-4,Thiruvallur,General,3,F
5,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,0,254,0.11,Gummidipoondi,1,1-5,Thiruvallur,General,12,M
6,SARAVANAN V,Indiya Jananayaka Katchi,813,3,816,0.37,Gummidipoondi,1,1-6,Thiruvallur,General,7,M
7,PRAKASH M,Pattali Makkal Katchi,75004,510,75514,34.0,Gummidipoondi,1,1-7,Thiruvallur,General,2,M
8,SARAVANAN E,Independent,526,6,532,0.24,Gummidipoondi,1,1-8,Thiruvallur,General,8,M
9,DEVANATHAN R,Independent,482,0,482,0.22,Gummidipoondi,1,1-9,Thiruvallur,General,9,M
10,PRAKASH K,Independent,349,2,351,0.16,Gummidipoondi,1,1-10,Thiruvallur,General,11,M
11,PRAKASH M,Independent,196,0,196,0.09,Gummidipoondi,1,1-11,Thiruvallur,General,13,M
12,LAKSHMI R,Independent,369,5,374,0.17,Gummidipoondi,1,1-12,Thiruvallur,General,10,F
13,NOTA,None of the Above,1775,8,1783,0.8,Gummidipoondi,1,1-13,Thiruvallur,General,5,Not Applicable
1,DURAI. CHANDRASEKAR,Indian National Congress,93669,859,94528,44.94,Ponneri,2,2-1,Thiruvallur,SC,1,M
2,BALARAMAN. P,All India Anna Dravida Munnetra Kazhagam,84534,305,84839,40.33,Ponneri,2,2-2,Thiruvallur,SC,2,M
3,BHAVANI ILAVENIL. J,Bahujan Samaj Party,1102,4,1106,0.53,Ponneri,2,2-3,Thiruvallur,SC,7,F
